日付,始値,高値,安値,終値,出来高,終値調整値
2014-05-21,476,482,470,481,346000,481
2014-05-22,483,487,478,486,291000,486
2014-05-23,492,504,489,496,537800,496
2014-05-26,503,503,487,493,498400,493
2014-05-27,493,494,485,487,418500,487
2014-05-28,495,498,487,493,478200,493
2014-05-29,491,491,482,485,526600,485
2014-05-30,488,490,477,479,687900,479
2014-06-02,483,487,480,482,372100,482
2014-06-03,482,485,477,479,669600,479
2014-06-04,479,482,478,481,411300,481
2014-06-05,482,484,474,477,403800,477
2014-06-06,482,486,479,483,482200,483
2014-06-09,484,485,476,478,374400,478
2014-06-10,480,486,478,483,438400,483
2014-06-11,483,497,483,496,534500,496
2014-06-12,492,497,487,494,344100,494
2014-06-13,494,516,494,514,1077800,514
2014-06-16,512,513,498,504,490000,504
2014-06-17,504,509,499,506,236000,506
2014-06-18,503,505,494,498,381000,498
2014-06-19,498,500,493,494,487900,494
2014-06-20,494,497,489,490,615400,490
2014-06-23,495,500,491,497,439100,497
2014-06-24,498,509,497,506,547800,506
2014-06-25,505,507,501,504,361300,504
2014-06-26,505,509,501,504,270400,504
2014-06-27,501,506,493,494,375700,494
2014-06-30,495,510,495,510,265100,510
2014-07-01,511,518,510,511,368300,511
2014-07-02,510,511,505,506,270500,506
2014-07-03,505,517,505,516,368400,516
2014-07-04,516,521,513,517,383300,517
2014-07-07,515,517,509,510,333000,510
2014-07-08,508,514,501,506,636300,506
2014-07-09,500,505,498,499,300900,499
2014-07-10,499,500,489,490,590800,490
2014-07-11,486,496,486,496,451300,496
2014-07-14,500,503,497,501,292000,501
2014-07-15,498,508,498,503,245700,503
2014-07-16,504,510,499,500,315800,500
2014-07-17,501,502,493,495,332700,495
2014-07-18,490,491,484,488,351300,488
2014-07-22,489,495,488,493,220300,493
2014-07-23,496,501,496,499,285400,499
2014-07-24,500,501,493,498,213600,498
2014-07-25,498,499,495,497,128600,497
2014-07-28,501,509,499,506,396200,506
2014-07-29,507,508,502,507,190000,507
2014-07-30,503,510,503,510,184700,510
2014-07-31,510,513,501,502,406500,502
2014-08-01,500,509,496,503,499500,503
2014-08-04,481,483,468,470,1095700,470
2014-08-05,470,471,462,464,780700,464
2014-08-06,465,470,463,466,669700,466
2014-08-07,466,471,460,470,550900,470
2014-08-08,467,471,460,462,412100,462
2014-08-11,474,475,469,475,423600,475
2014-08-12,475,478,470,475,319500,475
2014-08-13,475,478,472,478,233000,478
2014-08-14,478,478,472,476,224800,476
2014-08-15,476,478,474,478,161900,478
2014-08-18,479,486,478,484,250400,484
2014-08-19,488,488,479,483,222500,483
2014-08-20,485,486,480,482,199300,482
2014-08-21,483,483,464,474,1147400,474
2014-08-22,478,478,460,463,887200,463
2014-08-25,467,467,458,462,587800,462
2014-08-26,462,463,460,460,318300,460
2014-08-27,468,472,466,472,714200,472
2014-08-28,470,472,463,465,372200,465
2014-08-29,464,465,461,462,244000,462
2014-09-01,467,475,462,475,583400,475
2014-09-02,476,477,471,473,343300,473
2014-09-03,475,477,474,476,334100,476
2014-09-04,477,477,470,477,374200,477
2014-09-05,478,481,473,475,466700,475
2014-09-08,480,483,478,482,587700,482
2014-09-09,483,487,480,484,460400,484
2014-09-10,480,481,468,474,694000,474
2014-09-11,477,478,470,471,369500,471
2014-09-12,470,473,469,471,304600,471
2014-09-16,470,470,467,469,208700,469
2014-09-17,470,471,466,468,253800,468
2014-09-18,468,476,468,471,388300,471
2014-09-19,473,479,471,478,725800,478
2014-09-22,479,480,471,473,279100,473
2014-09-24,472,475,467,471,456600,471
2014-09-25,473,474,470,474,392000,474
2014-09-26,468,470,466,468,215200,468
2014-09-29,471,471,467,468,204500,468
2014-09-30,469,469,462,463,268500,463
2014-10-01,464,464,457,457,472600,457
2014-10-02,455,455,442,443,608100,443
2014-10-03,442,449,437,439,662000,439
2014-10-06,447,459,443,455,321900,455
2014-10-07,453,460,450,452,337600,452
2014-10-08,445,447,439,444,460600,444
2014-10-09,445,449,440,440,331200,440
2014-10-10,434,437,428,432,352500,432
2014-10-14,416,422,407,407,979600,407
2014-10-15,409,414,405,410,668200,410
2014-10-16,402,415,400,410,626600,410
2014-10-17,408,408,400,400,447900,400
2014-10-20,416,416,409,415,220000,415
2014-10-21,415,416,398,400,380800,400
2014-10-22,411,416,407,416,454000,416
2014-10-23,414,414,407,411,287300,411
2014-10-24,418,421,412,418,454800,418
2014-10-27,418,420,413,418,274600,418
2014-10-28,418,431,415,429,425400,429
2014-10-29,427,438,427,438,439900,438
2014-10-30,436,446,436,441,651300,441
2014-10-31,417,429,410,427,1500200,427
2014-11-04,440,451,431,451,1443600,451
2014-11-05,437,449,432,440,694100,440
2014-11-06,445,450,436,442,504400,442
2014-11-07,446,451,442,448,347000,448
2014-11-10,451,452,444,452,286100,452
2014-11-11,449,450,444,444,450600,444
2014-11-12,445,446,428,430,873300,430
2014-11-13,426,429,421,423,728600,423
2014-11-14,428,429,419,421,546000,421
2014-11-17,420,422,410,413,632000,413
2014-11-18,416,426,416,426,452500,426
2014-11-19,426,431,423,425,221000,425
2014-11-20,423,424,416,419,384900,419
2014-11-21,421,427,418,425,369200,425
2014-11-25,431,434,428,434,413900,434
2014-11-26,435,437,432,434,441700,434
2014-11-27,439,439,431,431,262800,431
2014-11-28,433,436,430,432,282100,432
2014-12-01,430,433,427,429,349200,429
2014-12-02,429,429,424,426,307100,426
2014-12-03,426,426,422,422,209000,422
2014-12-04,426,429,424,425,217300,425
2014-12-05,424,429,422,429,235200,429
2014-12-08,429,431,426,431,277000,431
2014-12-09,430,431,427,427,345300,427
2014-12-10,425,427,417,419,558100,419
2014-12-11,414,415,406,409,441900,409
2014-12-12,409,416,409,410,489500,410
2014-12-15,408,417,406,408,375900,408
2014-12-16,405,406,399,399,652600,399
2014-12-17,399,408,399,402,461700,402
2014-12-18,408,419,408,414,631000,414
2014-12-19,418,419,410,413,513300,413
2014-12-22,410,414,408,414,555600,414
2014-12-24,413,417,412,414,673100,414
2014-12-25,410,415,407,408,654200,408
2014-12-26,409,418,409,415,506700,415
2014-12-29,418,426,415,423,672100,423
2014-12-30,425,427,421,424,235400,424
2015-01-05,426,432,423,431,528100,431
2015-01-06,423,426,420,420,307200,420
2015-01-07,415,424,415,417,224800,417
2015-01-08,419,424,419,422,239800,422
2015-01-09,422,426,419,421,279300,421
2015-01-13,416,418,402,407,658200,407
2015-01-14,406,406,397,399,652600,399
2015-01-15,401,407,398,405,337100,405
2015-01-16,401,401,395,397,377200,397
2015-01-19,401,401,395,396,229100,396
2015-01-20,400,406,396,405,229800,405
2015-01-21,407,408,400,406,255200,406
2015-01-22,404,405,400,405,126100,405
2015-01-23,408,412,407,410,245800,410
2015-01-26,407,413,407,411,176200,411
2015-01-27,413,419,413,418,303800,418
2015-01-28,419,421,414,419,227800,419
2015-01-29,416,420,413,418,229600,418
2015-01-30,420,420,413,418,306000,418
2015-02-02,418,426,414,422,458900,422
2015-02-03,426,426,418,421,371700,421
2015-02-04,413,415,401,403,1030900,403
2015-02-05,405,410,401,409,937400,409
2015-02-06,411,412,404,409,566000,409
2015-02-09,412,422,411,422,567100,422
2015-02-10,422,430,421,429,683300,429
2015-02-12,432,434,428,428,727200,428
2015-02-13,432,434,429,431,448600,431
2015-02-16,434,441,433,441,537500,441
2015-02-17,441,444,438,444,448500,444
2015-02-18,448,449,444,446,547800,446
2015-02-19,445,448,440,447,526600,447
2015-02-20,448,450,445,448,346400,448
2015-02-23,450,453,443,446,360100,446
2015-02-24,448,452,444,451,295800,451
2015-02-25,452,452,438,442,588900,442
2015-02-26,445,452,443,449,334500,449
2015-02-27,448,449,443,446,239000,446
2015-03-02,446,449,443,449,260500,449
2015-03-03,446,449,441,443,273600,443
2015-03-04,443,447,439,446,226600,446
2015-03-05,443,445,440,441,244000,441
2015-03-06,440,445,440,443,259300,443
2015-03-09,441,446,439,444,334500,444
2015-03-10,445,446,442,444,209100,444
2015-03-11,444,449,441,449,289700,449
2015-03-12,450,452,443,449,344700,449
2015-03-13,453,455,449,453,551500,453
2015-03-16,453,454,448,453,311200,453
2015-03-17,457,457,451,456,494300,456
2015-03-18,458,458,453,456,175200,456
2015-03-19,456,457,451,453,178400,453
2015-03-20,452,454,440,448,640700,448
2015-03-23,450,457,450,456,346300,456
2015-03-24,457,464,456,457,514200,457
2015-03-25,460,460,441,447,715700,447
2015-03-26,444,449,442,445,390300,445
2015-03-27,440,447,433,436,387500,436
2015-03-30,436,438,427,436,460500,436
2015-03-31,440,448,436,440,366700,440
2015-04-01,436,440,428,430,289600,430
2015-04-02,433,438,431,436,243600,436
2015-04-03,435,440,434,439,133700,439
2015-04-06,436,440,435,437,95000,437
2015-04-07,436,440,432,433,268500,433
2015-04-08,434,436,432,433,231600,433
2015-04-09,433,433,425,426,536900,426
2015-04-10,427,431,424,429,288800,429
2015-04-13,430,437,426,431,313900,431
2015-04-14,431,436,431,436,273300,436
2015-04-15,432,438,431,433,213100,433
2015-04-16,431,437,431,436,330300,436
2015-04-17,425,430,415,417,2796300,417
2015-04-20,414,424,413,418,1110100,418
2015-04-21,422,424,420,421,592600,421
2015-04-22,424,427,419,420,898200,420
2015-04-23,421,424,420,420,583500,420
2015-04-24,423,424,420,420,359100,420
2015-04-27,421,421,416,419,539900,419
2015-04-28,420,424,418,423,546600,423
2015-04-30,421,424,420,421,471800,421
2015-05-01,422,423,416,417,533400,417
2015-05-07,418,428,418,425,714500,425
2015-05-08,417,420,412,416,1170400,416
2015-05-11,420,422,415,415,513900,415
2015-05-12,415,417,413,413,326800,413
2015-05-13,413,416,412,413,350300,413
2015-05-14,414,415,412,412,442200,412
2015-05-15,413,415,412,413,281400,413
2015-05-18,412,415,412,413,307500,413
2015-05-19,413,417,413,417,319500,417
2015-05-20,420,421,417,421,406900,421
2015-05-21,422,427,419,426,545800,426
2015-05-22,426,429,424,425,465500,425
2015-05-25,428,428,422,423,362000,423
2015-05-26,425,425,422,424,178700,424
2015-05-27,421,425,418,420,523700,420
2015-05-28,421,424,420,423,426200,423
2015-05-29,420,423,416,423,479600,423
2015-06-01,425,429,420,425,526500,425
2015-06-02,428,428,424,425,416300,425
2015-06-03,425,428,422,425,518900,425
2015-06-04,428,428,423,423,339200,423
2015-06-05,422,423,418,419,443000,419
2015-06-08,419,423,419,422,363000,422
2015-06-09,421,424,420,420,236800,420
2015-06-10,422,422,415,415,581900,415
2015-06-11,419,419,414,414,517300,414
2015-06-12,413,416,412,414,486400,414
2015-06-15,411,411,403,405,881000,405
2015-06-16,405,408,405,406,252000,406
2015-06-17,406,408,401,402,464600,402
2015-06-18,403,404,400,400,266700,400
2015-06-19,401,402,399,399,759900,399
2015-06-22,401,404,399,403,324500,403
2015-06-23,403,406,401,406,242100,406
2015-06-24,407,408,404,405,317000,405
2015-06-25,406,406,401,403,381600,403
2015-06-26,403,406,401,405,306400,405
2015-06-29,400,402,395,396,718500,396
2015-06-30,395,397,392,393,458100,393
2015-07-01,398,399,393,395,243800,395
2015-07-02,400,404,395,403,505600,403
2015-07-03,404,408,400,406,267700,406
2015-07-06,401,401,398,398,375800,398
2015-07-07,400,401,392,393,1083500,393
2015-07-08,392,394,388,388,745100,388
2015-07-09,380,382,367,381,761400,381
2015-07-10,384,387,378,383,423500,383
2015-07-13,382,389,379,385,649400,385
2015-07-14,391,395,391,393,440900,393
2015-07-15,392,394,390,392,246900,392
2015-07-16,390,392,387,390,314000,390
2015-07-17,390,391,384,387,354300,387
2015-07-21,386,386,376,376,1119100,376
2015-07-22,377,379,374,376,688500,376
2015-07-23,377,378,372,372,743100,372
2015-07-24,374,374,369,371,582200,371
2015-07-27,368,370,367,369,669900,369
2015-07-28,369,382,367,380,603500,380
2015-07-29,380,380,371,372,562700,372
2015-07-30,371,375,370,371,466000,371
2015-07-31,373,375,369,373,623100,373
2015-08-03,376,377,373,375,483000,375
2015-08-04,376,379,375,379,489200,379
2015-08-05,379,398,377,397,1342200,397
2015-08-06,395,404,394,401,787400,401
2015-08-07,397,407,396,404,746100,404
2015-08-10,400,401,393,397,457700,397
2015-08-11,402,405,398,404,354200,404
2015-08-12,399,402,395,399,414200,399
2015-08-13,395,405,395,403,442000,403
2015-08-14,403,403,399,402,234700,402
2015-08-17,401,410,400,406,507800,406
2015-08-18,409,409,403,406,227900,406
2015-08-19,406,406,399,401,142900,401
2015-08-20,397,402,393,394,353300,394
2015-08-21,385,387,376,379,651400,379
2015-08-24,368,376,362,363,665600,363
2015-08-25,359,361,342,349,747000,349
2015-08-26,350,357,346,348,738700,348
2015-08-27,353,353,339,341,1571700,341
2015-08-28,349,366,349,362,870300,362
2015-08-31,360,364,355,363,459600,363
2015-09-01,360,360,344,347,735800,347
2015-09-02,339,347,336,343,624300,343
2015-09-03,344,352,343,344,374300,344
2015-09-04,341,342,331,335,969900,335
2015-09-07,327,336,325,334,357400,334
2015-09-08,336,346,336,337,320300,337
2015-09-09,345,353,345,353,297600,353
2015-09-10,347,355,343,349,305600,349
2015-09-11,348,354,347,348,498700,348
2015-09-14,355,370,353,357,609700,357
2015-09-15,359,371,358,358,762100,358
2015-09-16,364,378,364,375,765600,375
2015-09-17,375,385,371,381,359800,381
2015-09-18,379,385,374,380,430200,380
2015-09-24,375,388,373,382,645400,382
2015-09-25,386,393,384,393,624000,393
2015-09-28,389,391,372,384,516800,384
2015-09-29,379,382,372,373,267200,373
2015-09-30,374,386,374,379,464600,379
2015-10-01,376,390,374,388,411300,388
2015-10-02,382,384,371,374,748200,374
2015-10-05,380,382,373,373,524100,373
2015-10-06,381,387,374,376,494500,376
2015-10-07,374,390,369,389,709400,389
2015-10-08,390,400,390,398,581500,398
2015-10-09,400,404,399,402,491200,402
2015-10-13,402,403,392,394,685300,394
2015-10-14,386,388,368,371,1165000,371
2015-10-15,367,373,363,366,1137400,366
2015-10-16,361,366,353,363,1301900,363
2015-10-19,366,371,359,360,663600,360
2015-10-20,358,363,350,353,723200,353
2015-10-21,354,361,353,357,601400,357
2015-10-22,357,361,354,355,949900,355
2015-10-23,359,359,353,355,1321800,355
2015-10-26,357,367,357,365,1137600,365
2015-10-27,368,380,368,370,1050200,370
2015-10-28,368,372,364,364,520300,364
2015-10-29,368,372,357,362,1643900,362
2015-10-30,359,362,351,355,1170100,355
2015-11-02,355,361,353,353,551800,353
2015-11-04,361,362,357,362,815100,362
2015-11-05,314,324,294,320,5402300,320
2015-11-06,323,324,317,320,1120400,320
2015-11-09,322,323,317,319,864600,319
2015-11-10,318,324,317,321,902400,321
2015-11-11,319,327,319,326,706600,326
2015-11-12,326,332,323,331,640600,331
2015-11-13,328,330,317,317,1480000,317
2015-11-16,319,323,316,321,712500,321
2015-11-17,325,329,324,325,482400,325
2015-11-18,328,328,321,324,230200,324
2015-11-19,327,329,324,328,317500,328
2015-11-20,329,331,326,331,282300,331
2015-11-24,323,324,312,320,1634400,320
2015-11-25,319,319,315,316,576900,316
2015-11-26,317,319,315,316,374200,316
2015-11-27,319,319,314,315,468100,315
2015-11-30,317,317,312,314,389900,314
2015-12-01,314,316,312,316,315300,316
2015-12-02,314,316,311,312,395500,312
2015-12-03,313,314,310,311,430000,311
2015-12-04,305,312,305,308,618900,308
2015-12-07,312,316,311,312,498800,312
2015-12-08,312,313,308,310,285200,310
2015-12-09,313,314,306,306,430400,306
2015-12-10,306,309,306,306,249500,306
2015-12-11,313,314,310,314,525300,314
2015-12-14,312,312,300,310,561800,310
2015-12-15,310,326,294,319,2499800,319
2015-12-16,319,324,315,321,1031000,321
2015-12-17,326,332,324,328,976800,328
2015-12-18,324,328,317,318,948000,318
2015-12-21,317,323,313,321,549000,321
2015-12-22,320,321,309,309,377200,309
2015-12-24,309,312,302,303,504200,303
2015-12-25,302,305,295,296,608900,296
2015-12-28,295,304,295,302,287000,302
2015-12-29,300,302,295,300,319800,300
2015-12-30,300,306,300,302,341700,302
2016-01-04,303,304,296,297,393500,297
2016-01-05,297,303,296,300,368700,300
2016-01-06,299,301,292,293,469900,293
2016-01-07,294,298,289,291,665400,291
2016-01-08,288,293,285,286,515600,286
2016-01-12,284,285,268,269,579200,269
2016-01-13,271,279,271,272,450100,272
2016-01-14,267,268,258,262,527100,262
2016-01-15,264,267,251,254,680000,254
2016-01-18,238,252,238,251,672400,251
2016-01-19,250,255,245,252,573600,252
2016-01-20,250,251,238,238,436900,238
2016-01-21,235,244,228,228,414500,228
2016-01-22,236,243,234,243,430200,243
2016-01-25,245,249,236,239,406500,239
2016-01-26,237,241,231,232,433700,232
2016-01-27,237,240,234,238,371100,238
2016-01-28,238,241,232,240,552100,240
2016-01-29,243,249,239,246,714600,246
2016-02-01,254,255,246,248,655300,248
2016-02-02,245,247,237,243,411200,243
2016-02-03,248,250,239,243,1009600,243
2016-02-04,237,243,231,231,477300,231
2016-02-05,230,234,227,230,555800,230
2016-02-08,226,228,223,225,385700,225
2016-02-09,211,218,209,210,633800,210
2016-02-10,210,217,206,209,596000,209
2016-02-12,203,205,189,189,879300,189
2016-02-15,199,212,196,205,818000,205
2016-02-16,207,229,207,225,827000,225
2016-02-17,225,237,225,234,679300,234
2016-02-18,240,245,235,242,460000,242
2016-02-19,239,242,226,229,531500,229
2016-02-22,226,240,226,240,464400,240
2016-02-23,243,246,240,242,372400,242
2016-02-24,239,245,236,237,262800,237
2016-02-25,241,248,240,246,294700,246
2016-02-26,249,249,236,238,308300,238
2016-02-29,241,246,234,234,273000,234
2016-03-01,237,240,231,235,328100,235
2016-03-02,245,248,241,246,248200,246
2016-03-03,245,250,244,250,270100,250
2016-03-04,249,263,249,263,323400,263
2016-03-07,266,272,265,269,350400,269
2016-03-08,270,270,256,260,247800,260
2016-03-09,257,260,246,247,249500,247
2016-03-10,252,257,250,254,169500,254
2016-03-11,249,263,249,261,281000,261
2016-03-14,264,271,264,270,193000,270
2016-03-15,275,277,270,277,261300,277
2016-03-16,274,275,267,270,295700,270
2016-03-17,273,281,267,269,384900,269
2016-03-18,269,273,259,273,433800,273
2016-03-22,277,281,272,273,246700,273
2016-03-23,273,276,267,269,144000,269
2016-03-24,267,272,265,267,173600,267
2016-03-25,281,281,270,275,437900,275
2016-03-28,281,281,271,279,260000,279
2016-03-29,277,283,275,283,185300,283
2016-03-30,283,283,273,275,222600,275
2016-03-31,278,281,269,270,211000,270
2016-04-01,275,275,260,261,325500,261
2016-04-04,261,266,252,255,167100,255
2016-04-05,252,252,237,237,262800,237
2016-04-06,233,239,229,230,392800,230
2016-04-07,231,235,227,228,182500,228
2016-04-08,223,242,223,237,231100,237
2016-04-11,240,245,233,244,209800,244
2016-04-12,245,259,245,251,338600,251
2016-04-13,254,261,254,258,168700,258
2016-04-14,261,271,259,269,267400,269
2016-04-15,265,268,263,265,129700,265
2016-04-18,258,267,255,265,294100,265
2016-04-19,270,281,268,281,281000,281
2016-04-20,282,293,281,289,368400,289
2016-04-21,293,294,287,289,204500,289
2016-04-22,287,297,286,296,261600,296
2016-04-25,299,299,290,294,140300,294
2016-04-26,296,300,291,295,403400,295
2016-04-27,297,298,295,295,218400,295
2016-04-28,292,300,275,285,316200,285
2016-05-02,271,285,268,269,183800,269
2016-05-06,269,275,262,267,170500,267
2016-05-09,259,265,258,259,262300,259
2016-05-10,256,271,256,268,267300,268
2016-05-11,266,268,240,242,859600,242
2016-05-12,237,239,234,235,302600,235
2016-05-13,236,239,224,224,408700,224
2016-05-16,228,232,224,226,221900,226
2016-05-17,230,232,226,232,210400,232
2016-05-18,232,237,229,232,263900,232
2016-05-19,233,237,233,233,206900,233
2016-05-20,234,240,233,240,178300,240
2016-05-23,241,243,235,242,131000,242
2016-05-24,242,254,242,253,335200,253
2016-05-25,259,265,255,263,357000,263
2016-05-26,267,268,252,254,458900,254
2016-05-27,252,257,250,255,261700,255
2016-05-30,257,260,255,259,152900,259
2016-05-31,259,270,259,270,525700,270
2016-06-01,270,275,267,269,287800,269
2016-06-02,266,267,253,255,233300,255
2016-06-03,255,260,252,255,175300,255
2016-06-06,247,256,244,254,253100,254
2016-06-07,255,259,254,256,105800,256
2016-06-08,256,256,246,251,191300,251
2016-06-09,248,250,239,239,188200,239
2016-06-10,240,240,233,235,459000,235
2016-06-13,230,230,224,225,259300,225
2016-06-14,223,225,216,217,240700,217
2016-06-15,215,221,214,218,222700,218
2016-06-16,214,216,206,207,290900,207
2016-06-17,212,221,210,220,206800,220
2016-06-20,222,226,208,220,365100,220
2016-06-21,217,224,215,224,146700,224
2016-06-22,225,225,219,223,176800,223
2016-06-23,222,233,220,233,176600,233
2016-06-24,239,239,210,220,568700,220
2016-06-27,222,222,212,215,326400,215
2016-06-28,210,220,204,217,259700,217
2016-06-29,217,218,210,210,453500,210
2016-06-30,211,213,198,199,759600,199
2016-07-01,200,201,195,196,610500,196
2016-07-04,199,199,195,197,511000,197
2016-07-05,198,198,192,193,374500,193
2016-07-06,190,193,184,186,559300,186
2016-07-07,184,189,183,184,333300,184
2016-07-08,183,187,181,181,353900,181
2016-07-11,186,196,185,195,410400,195
2016-07-12,200,202,196,199,625100,199
2016-07-13,206,207,200,204,392500,204
2016-07-14,202,205,199,204,265100,204
2016-07-15,200,209,200,207,524900,207
2016-07-19,209,209,201,206,208600,206
2016-07-20,204,206,199,202,199300,202
2016-07-21,204,208,201,204,218700,204
2016-07-22,200,203,199,203,338700,203
2016-07-25,204,212,203,209,381800,209
2016-07-26,206,210,202,206,429200,206
2016-07-27,210,215,209,209,271700,209
2016-07-28,210,213,208,209,375300,209
2016-07-29,208,213,205,212,443000,212
2016-08-01,207,211,203,206,280200,206
2016-08-02,206,210,203,205,300200,205
2016-08-03,194,196,187,187,1521300,187
2016-08-04,190,196,187,194,757500,194
2016-08-05,193,194,189,190,174300,190
2016-08-08,192,199,192,199,268600,199
2016-08-09,199,199,192,192,372400,192
2016-08-10,191,193,188,188,400600,188
2016-08-12,196,196,190,192,543900,192
2016-08-15,192,193,187,188,380100,188
2016-08-16,188,188,180,180,964800,180
2016-08-17,180,185,180,184,462600,184
2016-08-18,183,183,178,179,543300,179
2016-08-19,180,183,179,182,420000,182
2016-08-22,182,183,180,182,193100,182
2016-08-23,180,182,178,178,439500,178
2016-08-24,180,183,179,180,312500,180
2016-08-25,182,182,179,180,159200,180
2016-08-26,180,181,178,179,374100,179
2016-08-29,183,187,182,185,440800,185
2016-08-30,185,185,181,183,270400,183
2016-08-31,185,190,185,187,476000,187
2016-09-01,190,192,188,191,470500,191
2016-09-02,193,196,191,194,522600,194
2016-09-05,198,209,197,206,1463200,206
2016-09-06,205,221,205,217,1585000,217
2016-09-07,211,220,209,212,1021000,212
2016-09-08,213,213,200,202,1595400,202
2016-09-09,202,210,202,208,974300,208
2016-09-12,204,206,200,202,753900,202
2016-09-13,203,203,198,201,742900,201
2016-09-14,200,205,199,202,273000,202
2016-09-15,200,205,198,203,307600,203
2016-09-16,204,205,202,204,374700,204
2016-09-20,206,213,204,206,601500,206
2016-09-21,205,212,205,211,444200,211
2016-09-23,210,214,207,213,472300,213
2016-09-26,210,211,202,203,960800,203
2016-09-27,199,203,198,201,757200,201
2016-09-28,199,201,193,194,856800,194
2016-09-29,196,204,196,201,966500,201
2016-09-30,197,202,192,202,1037000,202
2016-10-03,206,206,199,200,597800,200
2016-10-04,201,204,200,201,259900,201
2016-10-05,203,210,201,208,927800,208
2016-10-06,211,211,207,208,458200,208
2016-10-07,208,209,205,208,505000,208
2016-10-11,210,210,205,206,352600,206
2016-10-12,204,206,199,200,482600,200
2016-10-13,200,203,197,197,650900,197
2016-10-17,201,203,198,200,231300,200
2016-10-19,199,200,198,199,170900,199
2016-10-20,200,201,197,199,345800,199
2016-10-21,200,200,197,198,590800,198
2016-10-24,200,201,198,199,384600,199
2016-10-25,201,202,198,199,765700,199
2016-10-26,200,200,196,198,823600,198
2016-10-27,200,200,198,198,499000,198
2016-10-28,198,200,196,197,1525000,197
2016-10-31,198,200,196,200,606100,200
2016-11-01,215,234,213,224,6283600,224
2016-11-02,227,235,221,233,4316600,233
2016-11-04,232,254,231,251,2992000,251
2016-11-07,251,272,251,263,3143300,263
2016-11-08,266,269,256,265,1765700,265
